"key","plural1","plural2","plural3","plural4","plural5","plural6","value"
"do not remove or edit row above, even though it looks wrong"

"Global.score","Wertung"
"route.user.register.email.message","<p>Hi %name%,</p><p>Thank you for registering with the British Council Social Monitor</p><p>If you did not register for this service, please ignore this email.</p><p>Otherwise, click this link to confirm your email so that you can login with your new account <a href=""%link%"">Confirm email</a></p><p>Thanks,<br />the British Council Social Media Monitor team</p>"
"route.user.register.email.from","The British Council Social Media Monitor team"
"route.user.register.email.from-address","do.not.reply@example.com"

"route.user.new.page-title","Neuer Benutzer"

"route.user.edit.page-title","Benutzer bearbeiten"
"route.user.edit.saved","Benutzer gespeichert"
"route.user.edit.created","Benutzer erstellt"
"route.user.edit.registered","Benutzer registriert"
"route.user.edit.message.both-passwords-required","Beide Passwörter sind erforderlich"
"route.user.edit.message.password-mismatch","Die Passwörter stimmen nicht überei"
"route.user.edit.message.passwords-too-short","Das Passwort muss mindestens 4 Buchstaben enthalten"
"route.user.edit.message.missing-username","Bitte geben Sie einen Benutzernamen an"
"route.user.edit.message.missing-email","Bitte geben Sie eine Email Addresse an"
"route.user.edit.message.invalid-email","Bitte geben Sie eine gültige Email Addresse an"
"route.user.edit.message.use-company-email","Um sich zu registrieren benötigen Sie eine gültige Email Addresse des Goethe-Instituts"
"route.user.edit.message.email-in-use","Diese Email wird bereits verwendet"
"route.user.edit.message.username-in-use","Dieser Benutzername wird bereits verwendet"

"route.user.edit-self.page-title","Meine Angaben bearbeiten"

"route.user.manage.page-title","Zugangsrechte für den Benutzer %user% bearbeiten"
"route.user.manage.message.permissions-saved","Zugangsrechte gespeichert"

"route.user.forgotten.email.subject","Passwort zurücksetzen"
"route.user.forgotten.email.message","'<p>Hi %name%,</p><p>A request to reset the password for your British Council Social Media Monitor account was recently made.</p><p>If you did not request a reset, please ignore this email.</p><p>Otherwise, click this link to reset your password <a href=""%link%"">Reset password</a></p><p>Thanks,<br />the British Council Social Media Monitor team</p>"
"route.user.forgotten.email.from","The British Council Social Media Monitor team"
"route.user.forgotten.email.from-address","do.not.reply@example.com"

"route.user.confirm-email.message.success","Thank you for confirming your email. You can now login."
"route.user.confirm-email.message.fail","Something went wrong and we couldn't confirm your email address."
"route.user.confirm-email.message.invalid-email","Incorrect user/key combination for email confirmation"



"route.statuses.index.page-title","Status"



"route.error.error.page-title","Application error"
"route.error.error.page-title-404","Seite konnte nicht gefunden werden"
"route.error.error.message-404","Bitte überprüfen Sie die URL"
"route.error.error.message-500","Es tut uns leid, da ist wohl etwas schief gegangen"




"route.fetch.log.finished","Abgeschlossen"
"route.fetch.log.updating-facebook-actors.start","Facebook Akteure werden aktualisiert"
"route.fetch.log.updating-facebook-actors.fail","Updaten der Facebook Akteure ist fehlgeschlagen: %message%"
"route.fetch.log.updating-facebook-actors.success","%count% Akteuere aktualisiert"
"route.fetch.log.updating-domains.start","Aktualisiere verknüpfte Domains"
"route.fetch.log.updating-domains.success","%count% Domains eingefügt"
"route.fetch.log.start","Starting %action% process on %start%"
"route.fetch.log.lock-acquire.already-running","Der Prozess ist bereits am laufen und war zuletzt vor %seconds% Sekunden aktiv"
"route.fetch.log.lock-acquire.stale","Stale lock found last active %seconds% seconds ago: %lockname%"
"route.fetch.log.presence-history.start","Aktualisiere Verlauf des Standort"
"route.fetch.log.presence-history.error","Error: %message%"
